id,title,view
bnVUHWCynig,BeyoncÃ© - Halo,"1,220,474,359"
KEI4qSrkPAs,The Weeknd - Can't Feel My Face (Official Video),"1,219,586,610"
1-xGerv5FOk,Alan Walker - Alone,"1,219,206,059"
bo_efYhYU2A,"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)","1,217,209,283"
LHCob76kigA,Lukas Graham - 7 Years [Official Music Video],"1,208,450,645"
Pw-0pbY9JeU,twenty one pilots - Ride (Official Video),"1,206,182,946"
Uws510cVia4,HA-ASH - Lo AprendÃ­ de Ti (Primera Fila - Hecho Realidad [En Vivo]),"1,205,294,902"
gFZfwWZV074,"Anuel AA, KAROL G - Secreto","1,201,274,320"
6-n_szx2XRE,Rahat Fateh Ali Khan - Zaroori Tha,"1,198,353,429"
7-7knsP2n5w,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,"1,197,287,257"
nntGTK2Fhb0,"Skrillex and Diplo - ""Where Are Ã Now"" with Justin Bieber (Official Video)","1,195,325,292"
KWZGAExj-es,Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),"1,192,130,056"
6NXnxTNIWkc,4 Non Blondes - What's Up (Official Music Video),"1,189,595,845"
N2-HsIYd0Go,Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever,"1,176,680,366"
CUYrEiymUMY,Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video oficial],"1,175,048,562"
dPI-mRFEIH0,Katy Perry - Bon AppÃ©tit (Official) ft. Migos,"1,169,328,924"
nSDgHBxUbVQ,Ed Sheeran - Photograph (Official Music Video),"1,164,434,593"
3yd_eoMOvqk,MC Kevinho - Olha a ExplosÃ£o (KondZilla) | Official Music Video,"1,162,979,213"
6Ejga4kJUts,The Cranberries - Zombie (Official Music Video),"1,162,936,788"
V1bFr2SWP1I,"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" KamakawiwoÊ»ole","1,161,223,877"
o3mP3mJDL2k,Shakira - Can't Remember to Forget You (Official Video) ft. Rihanna,"1,156,318,143"
3JWTaaS7LdU,Whitney Houston - I Will Always Love You (Official 4K Video),"1,151,224,850"
6BTjG-dhf5s,Daddy Yankee - Limbo (Video Oficial),"1,151,087,009"
DyDfgMOUjCI,Billie Eilish - bad guy,"1,140,524,577"
ETLoTxVVvjM,Christian Nodal - AdiÃ³s Amor (Video Oficial),"1,139,984,860"
w7w59Zp8bEM,Osito Gominola - Full Spanish Version - The Gummy Bear Song,"1,139,402,387"
jGflUbPQfW8,OMI - Cheerleader (Felix Jaehn Remix) [Official Video],"1,138,252,619"
My2FRPA3Gf8,Miley Cyrus - Wrecking Ball (Official Video),"1,135,725,875"
SmM0653YvXU,Pitbull - Rain Over Me ft. Marc Anthony,"1,128,276,064"
JXRN_LkCa_o,"Chris Brown - Loyal (Official Video) ft. Lil Wayne, Tyga","1,128,271,226"
yUV9JwiQLog,J Balvin - 6 AM ft. Farruko (Official Video),"1,124,256,917"
tLcfAnN2QgY,Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio SolÃ­s,"1,121,847,377"
4LfJnj66HVQ,Lil Pump - Gucci Gang [Official Music Video],"1,119,547,936"
L8eRzOYhLuw,Ariana Grande - Break Free ft. Zedd,"1,119,034,117"
3O1_3zBUKM8,Naughty Boy - La la la ft. Sam Smith (Official Video),"1,118,821,736"
vu5-aKf_QqA,"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika Singh,Neha,Kumar S","1,118,375,507"
CSvFpBOe8eY,System Of A Down - Chop Suey! (Official HD Video),"1,115,960,578"
pgN-vvVVxMA,XXXTENTACION - SAD!,"1,113,281,954"
JFcgOboQZ08,"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka","1,112,210,168"
aatr_2MstrI,Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],"1,110,215,526"
pB-5XG-DbAA,Sam Smith - Stay With Me (Official Video),"1,105,308,715"
y6Sxv-sUYtM,Pharrell Williams - Happy (Official Music Video),"1,105,158,178"
S-sJp1FfG7Q,Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],"1,104,762,336"
Amq-qlqbjYA,BLACKPINK - 'ë§ì§ë§ì²ë¼ (AS IF IT'S YOUR LAST)' M/V,"1,100,308,056"
6R5i6wQCOCQ,Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),"1,095,918,140"
dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Music Video),"1,094,182,780"
hjWf8A0YNSE,Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T-Series,"1,093,672,929"
Zi_XLOBDo_Y,Michael Jackson - Billie Jean (Official Video),"1,089,380,791"
C_3d6GntKbk,ZAYN - PILLOWTALK (Official Music Video),"1,086,551,943"
BokdSWC2R68,Los Ãngeles Azules - Mis Sentimientos ft. Ximena SariÃ±ana (Live),"1,086,525,059"
QYh6mYIJG2Y,Ariana Grande - 7 rings (Official Video),"1,085,653,701"
kTlv5_Bs8aw,BTS (ë°©íìëë¨) 'MIC Drop (Steve Aoki Remix)' Official MV,"1,085,091,778"
ekzHIouo8Q4,Bruno Mars - When I Was Your Man (Official Music Video),"1,081,220,720"
79DijItQXMM,Dwayne Johnson - You're Welcome (from Moana/Official Video),"1,077,867,819"
5dbEhBKGOtY,"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)","1,076,289,695"
8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"1,075,448,585"
HMUDVMiITOU,"DJ Snake, Lil Jon - Turn Down for What","1,073,211,201"
kTHNpusq654,Katy Perry - Hot N Cold (Official),"1,070,309,870"
hMy5za-m5Ew,FILHALL | Akshay Kumar Ft Nupur Sanon | BPraak | Jaani | Arvindr Khaira | Ammy Virk | DESI MELODIES,"1,066,488,949"
O-zpOMYRi0w,Iggy Azalea - Fancy ft. Charli XCX (Official Music Video),"1,064,267,110"
OxxggwHFj7M,Travesuras - Nicky Jam | Video Oficial,"1,061,367,450"
tAGnKpE4NCI,Metallica: Nothing Else Matters (Official Music Video),"1,056,835,101"
0yr75-gxVtM,Chino & Nacho - Me Voy Enamorando ft. Farruko (Remix) (Official Music Video),"1,056,625,140"
ffxKSjUwKdU,Ariana Grande - no tears left to cry (Official Video),"1,056,227,214"
vx2u5uUu3DE,Bon Jovi - It's My Life (Official Music Video),"1,051,583,464"
SR6iYWJxHqs,Bruno Mars - Grenade (Official Music Video),"1,050,267,692"
YXnjy5YlDwk,Marc Anthony - Vivir Mi Vida (Official Video),"1,050,151,711"
_Z5-P9v3F8w,Justin Bieber - Never Say Never (Official Music Video) ft. Jaden Smith,"1,042,747,886"
fyaI4-5849w,"DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller","1,042,270,432"
xFutjZEBTXs,Enrique Iglesias - DUELE EL CORAZON ft. Wisin,"1,039,925,597"
9xByMBYDRmY,Maluma - Sin Contrato (Official Video),"1,039,882,116"
jofNR_WkoCE,Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],"1,037,722,276"
dT2owtxkU8k,Shawn Mendes - There's Nothing Holdin' Me Back,"1,037,564,990"
pBuZEGYXA6E,BTS (ë°©íìëë¨) 'IDOL' Official MV,"1,034,555,239"
LDZX4ooRsWs,Nicki Minaj - Anaconda,"1,033,964,919"
7C2z4GqqS5E,BTS (ë°©íìëë¨) 'FAKE LOVE' Official MV,"1,032,469,204"
hcm55lU9knw,Michel TelÃ³ - Ai Se Eu Te Pego -  Video Oficial (Assim vocÃª me mata),"1,030,082,389"
zDo0H8Fm7d0,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],"1,029,666,840"
sCbbMZ-q4-I,"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay","1,028,389,335"
bx-fuY7LpSU,Vaina Loca - Ozuna x Manuel Turizo (Video Oficial),"1,026,903,951"
Xk0wdDTTPA0,Maluma - Borro Cassette (Official Video),"1,023,911,902"
euCqAq6BRa4,DJ Snake - Let Me Love You ft. Justin Bieber (Official Video),"1,023,137,000"
8iPcqtHoR3U,Romeo Santos - Eres MÃ­a,"1,021,360,947"
PEGccV-NOm8,Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO],"1,019,026,835"
a59gmGkq_pw,Major Lazer - Cold Water (feat. Justin Bieber & MÃ) (Official Lyric Video),"1,016,815,916"
v2AC41dglnM,AC/DC - Thunderstruck (Official Video),"1,011,089,800"
aSjflT_J0Xo,Paulo Londra - Adan y Eva (Official Video),"1,007,696,051"
bX3S-_jUauc,Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video),"1,006,845,323"
ioNng23DkIM,BLACKPINK - 'How You Like That' M/V,"1,004,664,265"
4fndeDfaWCg,Backstreet Boys - I Want It That Way (Official HD Video),"1,002,264,028"
