album_index,album_id,album_name
1023,4ijOf1R7zXc6sBQY8NgBEA,The Rolling Stones In Mono (Remastered 2016)
1027,0c78nsgqX6VfniSNWIxwoD,Let It Bleed
1028,1v4O55JGou3T0Vlj06fdXz,The Singles Plus
1032,1ZH5g1RDq3GY1OvyD0w0s2,Combat Rock (Remastered)
1033,44Ig8dzqOkvkGDzaUof9lK,Led Zeppelin IV (Deluxe Edition)
1035,70lQYZtypdCALtFVlQAcvx,Led Zeppelin II (1994 Remaster)
1036,0Em8m9kRctyH9S3MTXAHvY,Tres Hombres (Expanded 2006 Remaster)
1037,0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe)
1040,2widuo17g5CEC66IbzveRu,Hotel California (2013 Remaster)
1044,6oU298pdPTCQnMx1PYwyUA,Point Of Know Return (Expanded Edition)
1046,6uvBKDGlJAYLH5Vy6RQVsc,Wish You Were Here (Remastered Version)
1047,6WaIQHxEHtZL0RZ62AuY0g,The Wall (Remastered)
1048,2WT1pbYjLJciAR26yMebkH,The Dark Side Of The Moon (2011 Remastered Version)
1049,132qAo1cDiEJdA3fv4xyNK,Paranoid (2009 Remastered Version)
1054,0GBrlPh90D25SQ6EJu4VtT,Slowhand 35th Anniversary
1055,3PkdGRruLnJ9zCtANiDrpB,Buffalo Springfield
1058,10jsW2NYd9blCrDITMh2zS,American Pie
1061,5Jkd47JEaCU1g4DcGBnHm3,The Final Countdown (Expanded Edition)
1063,2jPmk6qQzuY5AvKkZxMh7h,A Beautiful Lie
1064,74D2cU8F6KbBqva3mnzrqI,X
1066,5cyx5207ZDS7ZhmLFiBoUx,The World Is Yours
1067,4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy
1069,1ZGxGu4fMROqmZsFSoepeE,Nice For What
1070,4MyNxudSugDwmImYJgQeXm,If I'm Lucky
1073,5n15QbYKbO4pzAV2Iy1VVG,Weezer
1074,5oU1ROIHS6IOWnb87GWhqU,Like I Do
1076,7zuqkqhGkTH3PSdywhLgY4,Blossom (Deluxe)
1079,42wLKnuGyBLGWwH89lnimL,Te Botï¿½ (Remix)
1082,1jHSAfCHKUFx5imuezI7HE,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
1087,0c4JocKlxYfBjZep8TJkcI,OTW
1096,4ohPMPeZukCChC6xNJpeYx,One-X
1097,13topfW33NjnACjnRiZBX7,Three Days Grace
1101,3A4zAmE5c4dUAAqEJz6hCH,Metallica
1102,0cmQxbV8TsbNshzBjfCAO5,Master Of Puppets (Remastered)
1106,1q7a5wZeti0neU2jDn8Dz3,Solo (feat. Demi Lovato)
1107,6hAxqfWO3xDGzjs8yad1pB,Sin Pijama
1111,4rJgzzfFHAVFhCSt2P4I3j,Playboi Carti
1117,7DNmxxEuJe19wNVrinaXx4,The Aviary
1119,1PEgEtk3DMrUxG6Mkco3Zg,Esperándote
1121,3MTiK3nOSTZN4gcitxNhkG,Bum Bum Tam Tam
1127,3MnOoZGbCDAjLf8jOImSbg,The Lady Killer (The Platinum Edition)
1128,2sBB17RXTamvj7Ncps15AK,lovely (with Khalid)
1129,2OZbaW9tgO62ndm375lFZr,Madman Across The Water
1132,7dtLYwLOdYQa2S8Vjeuxci,Elton John (Remastered Version)
1135,03r2opEvFi1PEs2SrkWMKV,"It's Not Me, It's You"
1141,61h3VS8XDROIpvQznjTPTT,The Singles 86-98
1142,1mnu4hYvdwQgZXcNvtJ3D3,Toto
1144,0kgy48FPwyVepPIaiO2w7G,Nights With You
1145,5DyOxuvdSmTSNAmkfcsBsj,Jolene
1147,089oyV5caclve3ap934iRw,Sinner
1148,5fkAvx2E00HYs3bQAmRIBy,UFO
1149,46yAYzRhSMPA44m0MzSr6g,Make Me (Cry)
1151,73TNMu44lT0m1h1Nn6Bfiq,Sail Out
1152,3MATDdrpHmQCmuOcozZjDa,TESTING
1154,1L5GP3Zuu7BvI81OJ0VkpT,Familiar
1156,1M1dhwZE65bqGfbUdMzvlj,Mellow Gold
1158,1XQ6XbZ6ZM1V5iEtWlYDeH,Ocean (feat. Khalid)
1160,3KjCdhPbjbLptyJzviKu4P,Rise
1161,5aCENfD0bq3iECT2Mvx0mV,Sick Boy...Side Effects
1166,6Ei5WWek37m1x9AjpSXTcJ,More Than You Know
1167,6czdbbMtGbAkZ6ud2OMTcg,Yours Truly
1168,0jjXyisbi46vt02rbPhgxt,Catch & Release
1169,2xChdOg0PvxzHzE1BooUpI,Rock n Roll Jesus
1170,4k2ygY7kW4n1eVtR2i0F0H,Light
1172,0yd01cU78rnlFXq6vRxPSR,Taste (feat. Offset)
1174,2pJwtJl5mZdRj2jocjDFgB,Born To Be Yours
1180,17FnTn4P3Bkyf6mbNQDhhy,Wings
1181,6fBzYwBKjuO4hmhcGuklJM,Tarzan Original Soundtrack
1183,5mi7FKaWE5CtcOjdyxScA7,Chocolate Starfish And The Hot Dog Flavored Water
1184,02drHFQa59AoJWU6DXSSjd,No Brainer
1187,5Ao1r4qOUoRBUSPovTbKR9,La Cintura
1192,6MoaDh76Fsg0ogW2l7HAFx,F.A.M.E.
1193,5EEkfRgfYHiFu0lGur6Z6M,COSMIC
1195,2ucmNNr2Y9ZI7fP4oAMdIj,Sola
1199,0YZLXTaHLcgl5UdtKDiUXD,Be Alright
1200,00zN65JStpVnpJn9ckMsQI,Pitbull Starring In Rebelution
1201,2tpWgbBdzjkaJVJzR4T8y1,Promises (with Sam Smith)
1202,6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked
1203,2oO97tYOS5LmK0klvLSvFw,Another You
1204,185Tm1g5U7eMOrm3m9SQUh,I Love It
1205,3HNnxK7NgLXbDoxRZxNWiR,Kamikaze
1206,0D2kFxAO1YPAuxAtP23g0p,Project Baby 2: All Grown Up (Deluxe Edition)
1207,5VQfOfiYcDLGZo9HFW1IJM,X (feat. Maluma & Ozuna) [Remix]
1208,3rar7GKCodqR9GIIiNe75H,Natural
