album_id,album
4bTjdxhRRUiWfwj200f9Kl,Nothing but the Beat (Ultimate Edition)
27chRNopg2v5jii9ps8lio,Sadnecessary
7DJgfpwm8MT0Kd3yqjb6eg,Halcyon Days
2RE7Fq5gQ7K78MDwVBkkZ4,Heroes (we could be)
1I0SiaA9JSjKb1OKKDemkB,Megalithic Symphony (Deluxe)
4QcXq4vTVN7dFb7bZa9jG2,Pharmacy
7LnU0hAOYe9aq91PCKMI7A,Drag Me Down
58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox
2ZUFSbIkmFkGag000RWOpA,Nothing Was The Same (Deluxe)
2JWBVBmidYbaAR6o6bwcnC,We Found Love
7bdjtx1RTkWoSoOaIl7a8E,Settle (Special Edition)
3Kbuu2tHsIbplFUkB7a5oE,Revival (Deluxe)
7bpWEp24oHgUs08ImjakfU,Listen Again
5iwuX6Bx05LHz7cEZex92F,Diamonds
1j4y4oErsQ2dIiZXClg1Zc,Five More Hours (Deorro x Chris Brown)
6CvEd1L1KJZ8g3wIwCZYvF,Bad (feat. Vassy) [Radio Edit]
5h7fx8ILwOZ3I5yQ4eGBl7,The Lumineers
3Sags1sVK0ynALAsA9gPTQ,Making Mirrors
5tF2lAa2rh2kU2xIiBzWia,Wanted on Voyage
2ePFIvZKMe8zefATp9ofFA,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]
1OdcBxCNY52OXH0r4odXqP,Tattoos
4cCfFozyo6JC8acN8uIP7u,Magic
5ps3FwS0qGdRCvXop8q9vn,In A Tidal Wave Of Mystery (Deluxe Edition)
3RKhRsifs4RWrqvWV1YpPY,Don't You Worry Child
7JOCOjZTcLysDMkZGWlcIj,#3 Deluxe Version
3ng0Nr1GuIqsp4oEzyMHVm,Rolling In The Deep
5bU1XKYxHhEwukllT20xtk,AM
1oHY6eQmEG8skElDvFgKz2,Talking Dreams (Deluxe Edition)
20Ol6zZ0nLlc5EGTH1zA0j,Delirium (Deluxe)
2P2Xwvh2xWXIZ1OWY9S9o5,Watch The Throne (Deluxe)
0TyDTzG2zt2tg0wONT9wSU,679 (feat. Remy Boyz)
3RDqXDc1bAETps54MSSOW0,Bangerz (Deluxe Version)
3kwbwO3wtwyNo7zCFzWkcW,Is There Anybody Out There? - Track by Track Commentary
2Q9oTK48eb85waX1fFJsvj,The Truth About Love
4O3kjO4lcJv1o3kUud54iF,Call Me Maybe
6bV4Ee8NU7YubrdPec3ab5,The Days / Nights
3wDeTllVvayYsWTHsFNWZQ,Tattoos (Deluxe Edition)
5t4A7Loq1pKRFlkBOs1O2O,Some Type of Love
7dXu1oLf9VPkCsBvXxz4Oe,We Are Young (feat. Janelle Monáe)
4p9dVvZDaZliSjTCbFRhJy,My Head Is An Animal
0O82niJ0NpcptYRxogeEZu,The 20/20 Experience (Deluxe Version)
4LkxAH60g5KbV9cg0xt5Lw,I Really Like You
3G2kixP0Pi8L0KgmSYohb2,Chaos And The Calm
7w19PFbxAjwZ7UVNp9z0uT,18 Months
6nKbHNfT3n7MNcmvRuqLWD,Communion (Deluxe)
1wqUTW08fW7Idb0QmbK2E1,Truth Serum
5NrFMOprmnMEf4gMnLaHcq,Pure Heroine (Extended)
3zo0Hxh9rjJsdw2JAKReE3,Turn Down for What
0W5GGnapMz0VwemQvJDqa7,+
7666JCeGvPashwRm40pmq2,Queen Of The Clouds
11Bkx3E99vf0IlYPND61LJ,"Young, Wild & Free (feat. Bruno Mars)"
3egRoultzC0Q1RtbDjFXLP,SEX AND LOVE (Deluxe Edition)
2nqmAIxUXON1qlX754E2QE,Geronimo
0L6tzOdcRwb82xMBZ3WZyi,Bitch Better Have My Money
3PogVmhNucYNfyywZvTd7F,Recovery
7n3QJc7TBOxXtlYh4Ssll8,21
7L2vCH0rBeI5pKefCgWcV9,La La La
1qHVYbxQ6IS8YRviorKDJI,I'm an Albatraoz
1snrPQMoTrBsKl73wzSxbn,Hands All Over (Revised International Standard version)
