album_id,label
4tYyNNlbRGlS6FNphD8mur,Jive Epic
2kyTLcEZe6nc1s6ve0zW9P,Interscope
37rNuexqEXWeSIOiJtn3A9,Capitol Records
1vHvJVBK0WnpbYFw4f4UTD,Tuff Gong
1kM6xcSYO5ASJaWgygznL7,Polar Music International AB
06S3Qjh4QWLtn6c7CVhYh7,Rimas Entertainment LLC
2TVvPbLNPTCZS8lPHs1rZW,Atlantic Records UK
6ylFfzx32ICw4L1A7YWNLN,Universal Music Latino / Rimas
4ZIaWbFnkMozASM1CA59K6,Universal Music AB
0tQ7Iu6EicQTPyhYRNWjaT,RCA Records Label
4iqsNkST0v1aaL3S0Fd4XS,RCA/Legacy
4KTUNKma9YpiSbioeui4pW,Eleven Seven Music
6aUbcanpJvwQqa7hs2mxoL,Universal Music Mexico
0bRAth39i98n7qrxubZ00K,Elektra France
1ExDe4fIz9qX6tkHUWjzEw,Universal Music Enterprises
74sIm8QdXqFwYeDS7OfYVw,A&M
5qrCoCKxWEDf5y5yERNArR,Kontor Records
0rajxwGsaQ1sqoegXK6gvw,Island Records
7jRjPcWQMYGtD6gPBDZiAq,Elektra (NEK)
0z5qKyh9ys3kk9oLEzgG5l,Syco Music UK
7rU4vsRIhRRfMt3qy6ADND,Epic Amsterdam
4ZvFerEKfTlvxqVroYdXjk,"Universal Music, a division of Universal International Music BV"
58NXIEYqmq5dQHg9nV9duM,Columbia
23Y5wdyP5byMFktZf8AcWU,Music World Music/Columbia
5vP0fNictdWyU48o83Q7ob,Atlantic Records
4MCZWUKxkvdMITh4KapBKX,Rimas Entertainment LLC
5Nk90vGwn59ToxTvSNsKZw,Atlantic Records UK
39qsmsNRXjVaFqTZj9af0j,Ministry of Sound Recordings
3IUeEbeMtVKF6IctblFRCk,Embassy of Music
6Ktv94u6eUIZBiUiBwOADD,Room28
1ITjhViDumL9llxAJYdKiC,B-Unique/RCA
66FPnVL9G4CMKy3wvaGTcr,Olivia Rodrigo PS
4ARUAVQnIDB02yVO8uvaJE,WM Mexico
4uP43hIpmEEDuW7aOfiU2C,Daniel Caesar
1OydCrx4m7fguwcX4stR9z,Down Up Down Music
6Z7DGRyzIlsq7kXNXQF3Yd,Elektra (NEK)
1Ypwht853ZVmsplg2DnZLI,Capitol Records
2QC9gnxGo0MnJ98mLTOf6c,WM Germany
4reDPMFxu6L4vWURQ8QYG1,Commission/BMG
2jGa3OwXatFYQAIS7OV7k9,Selena Gomez Latin Project
0cTOvcvrbNiaiv4WXEUHzT,Atlantic Records
1hZkAUxHrsteOYTCnrdD6J,Record Company TEN/Big Beat/ATL
0Fe4Uj7GkgA1uDGGk8s92C,Atlantic Records
5y5Qud31YIPnxbVjzojvmK,Universal Music Mexico
44a7Wk3Jh2JGVhjcFYWozj,RCA Records Label
6LY3AerY6KNGOPsNPL63Kk,Interscope
2PCqp6l2SH33VkuAiFPKfS,Kontor Records
6wiPmk3powmcz3G7zr6krg,Parlophone UK
0UkgnXc0w7qiRE2X086BdN,RCA Records Label
14p5CVdJCMRcgvICDAGS7k,Rec. 118 / Mal Luné Music
2OvZ8JCShhvxNkptwoGjve,Epic
5LEXck3kfixFaA3CqVE7bC,Rhino
6ZB8qaR9JNuS0Q0bG1nbcH,Sony Music CG
4EPQtdq6vvwxuYeQTrwDVY,EMI
3jdqYXotnRgQwG3HTniNdH,Urban
6PzYuR9c0CYCPJTnqylPhd,NITRON music
7jPoliCU7TRA13Wro32AOD,Island Records
5sIyJyOgwEIOgBhLxIGG3t,White World Music
5LuoozUhs2pl3glZeAJl89,OVO
76IRLp7YzBVLKsat6Ro9ae,BIGHIT MUSIC / HYBE
4Sz0PugCLKo0CEA7zgPplW,ICY/Artistry Records/Warner Records
49gaz5rhWWgqCw61M9700v,Jive
2DjfazR5N3TgXBQ7oVALA1,Quality Control Music/Motown Records/Capitol Records
5KXv2MHeoLSqZ96jRuFF9H,Hell Beach
4hBTxv4QRPePXCFcEI7Vjp,Geffen
4t9C75dy0UtR4JE7vNYQRr,Parlophone (France)
1w9opfGdFtR3ulNHxnnO1e,Capitol Records
4FJaDQzhKOP2tBynXrOasC,Epic/Beluga Heights
0XnqQzdSFAml08XZoRt1St,"QUESTION EVERYTHING, INC. / EMPIRE"
3SdFuYwyWoq7kuaHdTDcyD,Cactus Jack / Epic
6pOiDiuDQqrmo5DbG0ZubR,Columbia
11BDZR6NRHwPiPy1WQr4Jf,Epic
1QrYKuMTMLwpTwzOFhfnOk,Big Beat Records
1lXY618HWkwYKJWBRYR4MK,Cash Money Records/Young Money Ent./Universal Rec.
6KMkuqIwKkwUhUYRPL6dUc,RCA Records Label
5jdzXYmv7zWMdoJzcXrFQ9,Sony Music CG
4A366gjTrYQwmRtkTezF2W,Legacy Recordings
44hyrGuZKAvITbmrlhryf8,Time Is Money/Beluga Heights/Reprise
5EzDhyNZuO7kuaABHwbBKX,88rising Music/Warner Records
5cwUCXPFFfNsnk4qipc40D,Rhino Atlantic
5B4PYA7wNN4WdEXdIJu58a,Epic/Legacy
11GmvpYnbgK0rSryPaV5BP,"Sueños Globales, LLC"
03Sa02WIHEwH8lHfbipmrz,Premium Latin Music
3fq06DDIkadDRB9RuBb22v,Sony Music Latin/Duars Entertainment
6X2HirVqcGXjLBShA8GUW2,Jonas Brothers
1jBESH0DEFN7z8WH8B0B5c,La Base Music Group/ WK Records
3dLKM8bD8R3H3XnSOXGjTF,Island Mercury
537cgkkJUqMb46JUSNh0n7,WM Germany
4vWdSsgQzazxS7ndj9VcnO,Polydor Records
4UreP5hWmaXUj0b6IoKGTj,Dryden Street
59euB5Ns7yGbS06OYHwxRN,Avenue Records
6zA5X3CQ5rgLKhTobyV5Id,Young Money/Cash Money Records
6VSOIs13DaSG2IPilNviX5,Rimas Entertainment LLC
71OpEL0ZAD5YpOFBFolErW,Urban
4PTxbJPI4jj0Kx8hwr1v0T,Records/Columbia
5LbHbwejgZXRZAgzVAjkhj,Columbia
0bmiqbjKEu7qN1o7poiN1X,Universal-Island Records Ltd.
1Ww0yZ7iXbzkE5duwnMVNI,Beauty Marks Entertainment
5bGumbB29JBPlv4ECVURka,Ruffhouse/Columbia
41gMZm0ib3Je8hU0eFNUwS,Arista Records
1Pg35HAGyWOsZNYLHx0t90,Street Money Worldwide
3tRrovXWGrSfBU3MYHqsVJ,Rich Music
6pJLqbnEE1gjMZ15dpi1cH,El Cartel Records (EC3)
7EZP6OSbWvMZTrEmlBt1HX,Konvict/Upfront/SRC/Universal Records
1Ag9EPbzibwzz0S0WpgX3v,Sony Music Latin
2mD97VgxTRfwB8F5tvkwrL,Universal Records
4DlHEcnhhUJbLuRvaOfdxC,Relentless Records
4lBrDelXR6Sn0k54a7UWMz,XO / Republic Records
71clfVkkopYLrgweVj2cow,Epic
0nW0w37lrQ87k7PLZvC4qJ,RCA Records Label
6AFLOkpJjFF652jevcSOZX,Rhino/Elektra
3pZNBYMFG6OSNuajvsdN4Q,Hollywood Records
2ZzatxW5gv1XZ0uai8TKxk,Columbia
3uN87hwClF0hult2cxMbAW,Columbia
1CMgmJjMFskwwmK8h8j1Oj,EMI
1C5xrwfzgDM0hz7Kb035V3,The Bicycle Music Company
4TzzpYnIMI8opSO9koKKVG,DDG/Epic Records
01NhUvviMytvV12pmJiDZH,Atlantic Records UK
6xNFuLOko8gjxi5kUAyGyM,Steel Wool Entertainment
1mTPG6LmYto3dacYSKajuo,Embassy of Music
0mRqi6mOvyVVVEIfFFfWXU,Atlantic Records
5hKAQ3WuOJtaOW2a8hpIXY,Sony Music Latin/Duars Entertainment
4eTVgxB6wm5eGvesA4cUN5,Rhino
5QFYPgLGw6DYz8S3TrLM2d,Island Def Jam
0qAQvB9Ffg2IEMo9W6nTZO,Konvict/Upfront/SRC/Universal Records
6yXuLl7rOy2digAW9PLjlu,DIVISION
2gBziT8McYGmC7Vzf4BsK9,Vertigo Berlin
39McjovZ3M6n5SFtNmWTdp,Parlophone UK
14YY4ksyKkVbBsZ5TJt0Zr,Machine Entertainment Group - G Herbo
5XRCcUfwtLNQflDd9cfz4U,Quality Control Music/Motown Records/Capitol Records
7GjVWG39IOj4viyWplJV4H,Columbia
1zHR48K6XtWYm6bhrw4J6C,Epic/Not So Fast
1Id3Zj9GMvi7dPj3u6cMNs,Republic Records
3wCtCJ8O6SlGBWYfzAlsb2,Joytime Collective
7dkkh6qYHqduXSWQFhmQ0i,OVO Sound/Warner Records
6Pb7PMZtW0fuEM1lCGvCDu,Art@War/Atlantic Records
2bNE80uDjuw9kqCjC6cZMR,Capitol Records (CAP)
2fyOpT5c9kxR8zbDh6UtXh,Republic Records
0H6TddUF2M63ZSHGvhk5yy,UMC (Universal Music Catalogue)
1HnJKmB4P6Z8RBdLMWx18w,BIGHIT MUSIC / HYBE
41C5iULlHU9sMYiekI75Pn,Jagjaguwar
3zMEkZNzS5yJDcnqPhIk10,Cinematic/Epic/We The Best
0X7WyEKdm5afGj1fmD7Blx,Columbia
0HSskTof4Pr4FZ5vVMY1Io,Bra Musik
1PuH88Md0tzB8UrnBfboJA,Sony Music Latin
5J7bWCachL4Q662xAfzyJd,Warner Records
4UNZOq7e8WjnfaYm2rkltE,P2020
6cWawCk4DohREQA42eEOe1,Ministry of Sound Recordings
7JlCbNWZszAdVKZdtHFQ5p,Priority Records
1SBAgYpxxNiCQN7qxCJxDX,RCA/Hansa
6Oc6Ok1Oawu8lRkjmD4mXy,Geffen
3TSX6AxLdCP4E5o3F5jCdN,"MAKEUS ENTERTAINMENT, The Black Label"
1jEMFRIpdPdNnIuKIBlf8O,Hillsong Music and Resources LLC
