channelId,channelTitle,publishedAt,spotify_index,title,video_id
UC8WbdD3m5dP9giOU9XtAGWQ,M83,2011-10-17T13:56:18Z,265,M83 &#39;Midnight City&#39; Official video,dX3k_QDnzHE
UCK0TuNeYqg9oYGSksX-jNkg,Chicago Band,2018-01-24T06:19:52Z,3743,Chicago - Hard To Say I&#39;m Sorry/Get Away (Official Audio),EORSLz0_BRU
UCNnnwVSI5Ndo2I4Y-LPuuew,johnlegendVEVO,2016-11-11T15:00:01Z,741,John Legend - Love Me Now (Official Video),NmCFY1oYDeM
UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,2016-12-06T16:31:04Z,3872,Whethan - Savage (feat. Flux Pavilion &amp; MAX),IT_c3fFW3VM
UC4rasfm9J-X4jNl9SvXp8xA,Ultra Music,2009-08-19T16:55:55Z,2908,deadmau5 feat. Rob Swire - Ghosts N Stuff,h7ArUgxtlJs
UCm3FgJ2Hqm7tb70T-GfwXVA,HalseyVEVO,2016-02-25T21:00:00Z,765,Halsey - Colors,JGulAZnnTKA
UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,2018-09-04T07:00:07Z,1551,"Calvin Harris, Sam Smith - Promises (Official Video)",kkLk2XWMBf8
UC05eluGxsI8_xf5uRC-J26Q,AnuelVEVO,2018-11-01T16:00:00Z,1835,Anuel AA - Ella Quiere Beber (Remix) ft. Romeo Santos,0w3XwPVxcsw
UChQdA1rid5kKZh6oIc6DLNg,Roddy Ricch,2019-02-28T20:00:01Z,3253,Roddy Ricch - Down Below [Official Music Video] (Dir. by JMP),CJOZc02VwJM
UCpsoRs1i7wgi0aszRKE5BQQ,Mixed VEVO,2017-01-15T06:25:42Z,1349,Pour Some Sugar On Me - Def Leppard (2012 Remake) (HQ),-cXNaCcw_PI
UCNwQIsDSb-3y5Bhx52rATnw,lesliegraceVEVO,2018-01-19T08:00:05Z,2130,"Leslie Grace, Noriel - Duro y Suave (Official Video)",nyvVZczfD8o
UC52z4vKrrKQTGjQSkYAA-tg,RixtonVEVO,2014-03-27T10:00:02Z,395,Rixton - Me and My Broken Heart (Official Video),7JJfJgyHYwU
UC-rX_f6vueiRY0E75gBNQ0g,Tracy Chapman,2015-11-13T19:01:17Z,3448,Tracy Chapman - Baby Can I Hold You (Official Music Video),DqoLMGSBGYc
UCmPuJ2BltKsGE2966jLgCnw,acdcVEVO,2012-11-11T02:00:02Z,844,AC/DC - Highway to Hell (Official Video),l482T0yNkeo
UCmJv8qQwd49Q1XiUN1y7_Gw,ManeskinVEVO,2021-03-03T00:30:01Z,4321,Måneskin - ZITTI E BUONI (Official Video – Sanremo &amp; EUROVISION 2021 Winners),QN1odfjtMoo
UCZodL_lPCDt6BT5Co7r3rdQ,CCRVEVO,2018-12-11T16:00:05Z,1312,Creedence Clearwater Revival - Have You Ever Seen The Rain (Official),u1V8YRJnr4Q
UCbOCbp5gXL8jigIBZLqMPrw,HarryStylesVEVO,2019-12-13T05:00:11Z,3915,"Harry Styles - Sunflower, Vol. 6 (Official Audio)",tUUElxEGo0U
UCe9JQN67fXOpATmbLuR9Upw,SamHuntVEVO,2015-10-19T07:00:00Z,2711,Sam Hunt - Break Up In A Small Town (Official Music Video),YOb4VUgRqo0
UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,2019-08-23T04:00:06Z,3030,Taylor Swift - I Forgot That You Existed (Official Audio),p1cEvNn88jM
