track,track_id,artist,album,sp_release_date,duration,explicit,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,time_signature,playcount,video_id,view,channelTitle,yt_release_date,title,genres
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),2017-04-17,03:49,0,0.694,0.815,2,-4.328,1,0.12,0.0,0.0924,0.813,88.931,4,1493592290,72UO0v5ESUo,667967306,LuisFonsiVEVO,2017-04-17T04:00:01Z,"Luis Fonsi, Daddy Yankee - Despacito (Remix) (Official Audio) ft. Justin Bieber",pop
Thunder,56lBX2WHqfGuoeZxZvUnVj,Imagine Dragons,Thunder,2017-04-27,03:8,0,0.601,0.834,0,-3.78,1,0.0455,0.15,0.121,0.249,167.879,4,1610281684,fKopy74weus,1747978796,ImagineDragonsVEVO,2017-05-03T02:00:00Z,Imagine Dragons - Thunder,pop
Thunder,56lBX2WHqfGuoeZxZvUnVj,Imagine Dragons,Thunder,2017-04-27,03:8,0,0.601,0.834,0,-3.78,1,0.0455,0.15,0.121,0.249,167.879,4,1610281684,fKopy74weus,1747978796,ImagineDragonsVEVO,2017-05-03T02:00:00Z,Imagine Dragons - Thunder,rock
Sorry,69bp2EbF7Q2rqc5N3ylezZ,Justin Bieber,Purpose (Deluxe),2015-11-13,03:21,0,0.654,0.76,0,-3.669,0,0.045,0.0,0.299,0.41,99.945,4,1532792996,fRh_vgS2dFE,3487126030,JustinBieberVEVO,2015-10-22T20:00:02Z,Justin Bieber - Sorry (PURPOSE : The Movement),pop
Sorry,69bp2EbF7Q2rqc5N3ylezZ,Justin Bieber,Purpose (Deluxe),2015-11-13,03:21,0,0.654,0.76,0,-3.669,0,0.045,0.0,0.299,0.41,99.945,4,1532792996,fRh_vgS2dFE,3487126030,JustinBieberVEVO,2015-10-22T20:00:02Z,Justin Bieber - Sorry (PURPOSE : The Movement),electronic-dance
XO TOUR Llif3,2eMwDehkIC1j68U6FA3Eiq,Lil Uzi Vert,XO TOUR Llif3,2017-03-24,03:3,1,0.732,0.75,11,-6.366,0,0.231,0.0,0.109,0.401,155.096,4,1583391020,WrsFXgQk5UI,462557554,LIL UZI VERT,2017-09-04T16:47:03Z,Lil Uzi Vert - XO Tour Llif3 (Official Music Video),
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,Don't Let Me Down,2016-02-05,03:28,0,0.532,0.869,11,-5.094,1,0.172,0.00508,0.136,0.422,159.803,4,1487672813,Io0fBr1XBUA,1766761808,ChainsmokersVEVO,2016-04-29T07:30:01Z,The Chainsmokers - Don&#39;t Let Me Down (Official Video) ft. Daya,electronic-dance
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,Don't Let Me Down,2016-02-05,03:28,0,0.532,0.869,11,-5.094,1,0.172,0.00508,0.136,0.422,159.803,4,1487672813,Io0fBr1XBUA,1766761808,ChainsmokersVEVO,2016-04-29T07:30:01Z,The Chainsmokers - Don&#39;t Let Me Down (Official Video) ft. Daya,hip hop
HUMBLE.,7ujx3NYtwO2LkmKGz59mXp,Kendrick Lamar,DAMN.,2017-04-14,02:57,1,0.906,0.625,1,-6.779,0,0.0903,3.23e-05,0.0975,0.423,150.018,4,1521910154,tvTRZJ-4EyI,817052831,KendrickLamarVEVO,2017-03-30T23:00:06Z,Kendrick Lamar - HUMBLE.,hip hop
Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY,Queen,A Night At The Opera (2011 Remaster),1975-11-21,05:54,0,0.414,0.404,0,-9.928,0,0.0499,0.0,0.3,0.224,71.105,4,1651069301,fJ9rUzIMcZQ,1430093615,Queen Official,2008-08-01T11:06:40Z,Queen – Bohemian Rhapsody (Official Video Remastered),rock
Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY,Queen,A Night At The Opera (2011 Remaster),1975-11-21,05:54,0,0.414,0.404,0,-9.928,0,0.0499,0.0,0.3,0.224,71.105,4,1651069301,fJ9rUzIMcZQ,1430093615,Queen Official,2008-08-01T11:06:40Z,Queen – Bohemian Rhapsody (Official Video Remastered),pop
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,2018-08-17,03:34,0,0.687,0.792,5,-2.749,1,0.0452,0.0,0.167,0.671,100.015,4,1553872097,m7Bc3pLyij0,889915540,Marshmello,2018-09-24T13:58:16Z,Marshmello ft. Bastille - Happier (Official Music Video),pop
All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,Love In The Future (Expanded Edition),2013-08-30,04:30,0,0.422,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,4,1619189424,450p7goxZqg,2024229411,johnlegendVEVO,2013-10-02T14:00:06Z,John Legend - All of Me (Official Video),r&b
All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,Love In The Future (Expanded Edition),2013-08-30,04:30,0,0.422,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,4,1619189424,450p7goxZqg,2024229411,johnlegendVEVO,2013-10-02T14:00:06Z,John Legend - All of Me (Official Video),pop
I Took A Pill In Ibiza - Seeb Remix,7vfWgVGiLgnGbInU5lvSQg,Mike Posner,I Took A Pill In Ibiza (Seeb Remix),2015-07-24,03:19,1,0.673,0.79,7,-4.663,0,0.0893,9.95e-06,0.0875,0.705,102.013,4,1463120114,foE1mO2yM04,1421465878,MikePosnerVEVO,2016-02-27T01:00:00Z,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),pop
I Took A Pill In Ibiza - Seeb Remix,7vfWgVGiLgnGbInU5lvSQg,Mike Posner,I Took A Pill In Ibiza (Seeb Remix),2015-07-24,03:19,1,0.673,0.79,7,-4.663,0,0.0893,9.95e-06,0.0875,0.705,102.013,4,1463120114,foE1mO2yM04,1421465878,MikePosnerVEVO,2016-02-27T01:00:00Z,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),electronic-dance
