	track_id	track	artist	url
3807	2ideAIR3icFw8xYJnzSvMP	El Perdedor	Enrique Iglesias	https://en.wikipedia.org/wiki/El_Perdedor_(Enrique_Iglesias_song)
3808	0Pu71wxadDlB8fJXfjIjeJ	Shoop	Salt-N-Pepa	https://en.wikipedia.org/wiki/Shoop_(song)
3809	27AHAtAirQapVldIm4c9ZX	Jump	Kris Kross	https://en.wikipedia.org/wiki/Jump_(Kris_Kross_song)
3810	4vVTI94F9uJ8lHNDWKv0i2	Eenie Meenie	Sean Kingston	https://en.wikipedia.org/wiki/Eenie_Meenie
3811	1hGy2eLcmC8eKx7qr1tOqx	Beautiful Girls	Sean Kingston	https://en.wikipedia.org/wiki/Beautiful_Girls_(Sean_Kingston_song)
3812	6k1xBDOTZfFw7E9Pmlq8rB	Fire Burning	Sean Kingston	https://en.wikipedia.org/wiki/Fire_Burning
3813	4E5P1XyAFtrjpiIxkydly4	Replay	Iyaz	https://en.wikipedia.org/wiki/Replay_(Iyaz_song)
3814	1jMaB19DiVR8OihLSuYFOt	Spoonman	Soundgarden	https://en.wikipedia.org/wiki/Spoonman
3815	6gZVQvQZOFpzIy3HblJ20F	Man in the Box	Alice In Chains	https://en.wikipedia.org/wiki/Man_in_the_Box
3816	5sFDReWLrZHLFZFjHsjUTS	Would?	Alice In Chains	https://en.wikipedia.org/wiki/Would%3F
3817	4y5bvROuBDPr5fuwXbIBZR	Paper Rings	Taylor Swift	https://en.wikipedia.org/wiki/Lover_(album)
3818	1R0a2iXumgCiFb7HEZ7gUE	Don�t Blame Me	Taylor Swift	https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)
3819	0VE4kBnHJUgtMf0dy6DRmW	Getaway Car	Taylor Swift	https://en.wikipedia.org/wiki/Getaway_Car_(Taylor_Swift_song)
3820	7EpVQjqtKygiwJIASxMWNg	Out Of The Woods	Taylor Swift	https://en.wikipedia.org/wiki/Out_of_the_Woods_(song)
