video_id,view,channelId,channelTitle,publishedAt,spotify_index,title
rPgaYeq9NvI,55735989,UCm3FgJ2Hqm7tb70T-GfwXVA,HalseyVEVO,2019-10-08T17:17:10Z,2434,Halsey - Graveyard
qCTMq7xvdXU,181148859,UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO,2019-11-14T00:00:12Z,2659,Billie Eilish - everything i wanted (Audio)
6ZYisBWNtO0,3187262,UC5AqDhQeLho7ZMf_HkqQjOg,Emily Grace,2013-05-04T17:02:33Z,1546,Bastille-Oblivion Lyrics
ENXvZ9YRjbo,120766047,UCjXfz0RBwagVrDo7uL6liqg,WeezerVEVO,2009-06-17T05:26:28Z,1371,Weezer - Say It Ain&#39;t So (Version 3)
Nd-A-iiPoLg,6533942,UCsgEkEWaXKQwrhlLHFbcQFw,Sub Pop,2006-04-07T21:41:35Z,3204,Iron &amp; Wine - Naked as We Came [OFFICIAL VIDEO]
44A6MGnfryw,24546722,UCxaRKrg-61IZ24sFZRQ3b_w,Royal Vibes,2020-01-10T05:00:00Z,4358,Tate McRae - friends don’t look at friends that way (Lyrics)
MmZexg8sxyk,153510545,UCwMzrhrw-GhekJgDLj_8gkA,MGMTVEVO,2009-10-25T07:04:22Z,504,MGMT - Electric Feel (Official HD Video)
eVTXPUF4Oz4,1293704238,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,2009-10-26T18:31:10Z,379,In The End [Official HD Music Video] - Linkin Park
Cfj4fd53--s,71443818,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,2018-04-30T03:00:01Z,4359,"Alok, Zeeba and IRO - Ocean (Official Music Video)"
ixZDTiXiHsc,69488473,UCK-VRwguZP3cokOAxI0F1HA,ThreeDaysGraceVEVO,2012-10-05T07:00:11Z,1933,Three Days Grace - Riot (Audio)
ieodxKMYRf8,108913105,UCahVGI5idD85mQlBD2InzzA,reikVEVO,2020-02-18T01:00:10Z,4164,"Reik, Farruko, Camilo - Si Me Dices Que Sí"
qpgTC9MDx1o,777931591,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,2014-09-29T16:00:13Z,168,Maroon 5 - Animals (Official Music Video)
2Xe7OAFljOA,116568352,UCKrdjiuS66yXOdEZ_cOD_TA,Megan Thee Stallion,2019-05-18T18:18:31Z,3080,Megan Thee Stallion - Cash Shit ft. Da Baby
DApzVVyNMRI,60003563,UC08yRFk5Ar02B_7_1KqwiZg,LaytonGreeneVEVO,2019-07-15T17:58:46Z,3595,"Quality Control, Layton Greene, Lil Baby - Leave Em Alone ft. City Girls, PnB Rock"
NucJk8TxyRg,21868456,UCUBq_9jeiAXNoSgNjEwGPAQ,JoseGonzalezVEVO,2013-12-16T08:00:00Z,3059,José González - Stay Alive (Official Video)
3aJvIFK9-xk,14905487,UC5OpBVDvMuKBboZO3GGeXEw,EddieMoneyVEVO,2014-02-28T08:17:07Z,3744,Eddie Money - Take Me Home Tonight/Be My Baby
eP4eqhWc7sI,179804210,UC3N5y6UWKJaKqoU2b_0MfTQ,LanaDelReyVEVO,2017-05-22T14:00:02Z,1599,Lana Del Rey - Lust For Life (Official Video) ft. The Weeknd
WXBHCQYxwr0,735356018,UCOwgc8DswjoBMuuUU2ScPvQ,Ava Max,2018-08-27T16:26:25Z,1823,Ava Max - Sweet but Psycho [Official Music Video]
i5pUOVC50Y8,48038973,UCoehRqkqt8QGZCWPrXxltXg,journeyVEVO,2010-02-26T17:13:58Z,3555,Journey - Open Arms (Official Video - 1982)
MeRIAew8eXc,25898051,UC10Ot7i1OpwzlopW8Y6oQSQ,CapturedTracks,2012-09-18T14:42:21Z,4013,Mac DeMarco // &quot;Freaking Out The Neighborhood&quot;
m1g4SpPGUBU,10885469,UCERS5LzaorDqxDh0OP4LypQ,MatyNoyesVEVO,2016-09-07T07:00:00Z,1094,Maty Noyes - In My Mind
JQGRg8XBnB4,541289912,UCweOkPb1wVVH0Q0Tlj4a5Pw,1theK (원더케이),2018-01-03T09:00:01Z,2874,[MV] MOMOLAND (모모랜드) _ BBoom BBoom (뿜뿜)
5AOtEnH87Mg,12114228,UCHKsIBnhOfusZtsjFyKpX8w,DillonFrancisVEVO,2016-02-23T18:46:59Z,1018,"Dillon Francis, Kygo - Coming Over ft. James Hersey"
IYH7_GzP4Tg,123560966,UChCDNXr_7WGYGcVsk6JuboQ,Radial by The Orchard,2009-04-19T00:06:52Z,1581,Lil Jon &amp; The East Side Boyz - Get Low (feat. Ying Yang Twins) (Official Music Video)
IYH7_GzP4Tg,123560966,UChCDNXr_7WGYGcVsk6JuboQ,Radial by The Orchard,2009-04-19T00:06:52Z,2225,Lil Jon &amp; The East Side Boyz - Get Low (feat. Ying Yang Twins) (Official Music Video)
skhxizRYxps,92713848,UC8JvT2osp6pU4AOEmlGuYkw,Waka Flocka,2010-09-13T19:45:23Z,2921,Waka Flocka Flame - &quot;No Hands&quot; ft. Wale &amp; Roscoe Dash (Official Music Video)
6WeMiC-CJHA,295112317,UCX_gHEqsNCpJl-DWf5EN2Ww,Aventura,2010-06-29T15:53:36Z,4391,Aventura - El Malo
CCF1_jI8Prk,60197451,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,2017-11-18T01:08:57Z,1802,Daddy Yankee - Gasolina (Video Oficial)
3Q9rewnLFYw,115671250,UCfLFTP1uTuIizynWsZq2nkQ,UKF Dubstep,2010-08-06T12:26:11Z,4331,Flux Pavilion - I Can&#39;t Stop
HCBPmxiVMKk,104466946,UC_fN8QapvzsTxrddAN3w9tw,5FDPVEVO,2015-06-29T07:00:01Z,2974,Five Finger Death Punch - Jekyll And Hyde
yP4qdefD2To,35034983,UCiEKDhv4v0YTc-ZtpABkXZA,Goo Goo Dolls,2009-10-26T06:07:03Z,2611,Goo Goo Dolls - Slide [Official Music Video]
T0_zzCLLRvE,24257329,UCTSuGVPcfBRSZSdP3xQASqg,SoundgardenVEVO,2010-07-21T23:10:39Z,3817,Soundgarden - Spoonman
jFg_8u87zT0,124416492,UC61baUoIGkDzh_gWGRpnIcA,thefrayVEVO,2009-10-03T04:56:40Z,850,The Fray - You Found Me (Official VIdeo)
PJniSb91tvo,1243936752,UCFkoPRmuxqr37jvGmmpzhzQ,MalumaVEVO,2016-04-22T07:00:01Z,773,Maluma - El Perdedor (Official Video)
7Dqgr0wNyPo,236855411,UChpJbg7zMbi5jx9Gdjaxa9g,KanyeWestVEVO,2012-06-06T15:50:07Z,870,"Kanye West - Mercy (Explicit) ft. Big Sean, Pusha T, 2 Chainz"
qrO4YZeyl0I,1479329778,UC07Kxew-cMIaykMOkzqHtBQ,LadyGagaVEVO,2009-11-24T08:15:30Z,464,Lady Gaga - Bad Romance (Official Music Video)
zO6D_BAuYCI,180941014,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,2008-08-01T12:03:00Z,2165,Queen - Crazy Little Thing Called Love (Official Video)
nlR0MkrRklg,237751181,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,2014-12-13T04:00:01Z,1084,Ariana Grande - Santa Tell Me (Official Video)
nlR0MkrRklg,237751181,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,2014-12-13T04:00:01Z,3706,Ariana Grande - Santa Tell Me (Official Video)
YS0h2-hy9rw,226848819,UCc4BoS9-Bi94oWmC3SzEQcw,MustardVEVO,2019-10-02T16:00:06Z,2488,Mustard - Ballin’ ft. Roddy Ricch
csA3Ie-VIbs,114308233,UCGU9EqK5V5m141sNPCOfRBg,TEAM KUKU,2018-04-27T09:57:18Z,3075,CAPITAL BRA feat. UFO361 - NEYMAR (PROD. THE CRATEZ &amp; YOUNG TAYLOR)
1TO48Cnl66w,234216096,UCPaymCC07RcrRbT9Ero04jQ,DidoVEVO,2009-10-03T20:40:19Z,2453,Dido - Thank You (Official Video)
0qHGEgFucQU,69052667,UCQ5kHOKpF3-1_UCKaqXARRg,OneRepublicVEVO,2017-09-29T16:00:00Z,1050,"OneRepublic, Seeb - Rich Love (Official Music Video)"
weKJWqw8-3g,285205881,UCLp8RBhQHu9wSsq62j_Md6A,LuisFonsiVEVO,2014-08-29T04:00:03Z,3537,"Luis Fonsi, Juan Luis Guerra - Llegaste Tú (Video Oficial)"
0oZYC1k6ufs,37229149,UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,2020-05-10T16:07:55Z,4042,BAD BUNNY x NICKY JAM - BAD CON NICKY | LAS QUE NO IBAN A SALIR (Audio Oficial)
_aI0WM2OjTw,13796828,UCvclA06ZUVv54J-1ZeJ54Aw,TheVampsVEVO,2017-05-15T09:00:04Z,2004,"The Vamps, Martin Jensen - Middle Of The Night (Official Video)"
393C3pr2ioY,267214162,UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,2019-03-20T03:14:17Z,1811,Post Malone - &quot;Wow.&quot; (Official Music Video)
SR3DVWRwslU,56037899,UCte53PewI8_jYpBYn071MqQ,Sech,2020-11-01T02:15:10Z,4075,"La Luz - Sech, J Balvin (Video Oficial)"
Ri7-vnrJD3k,678730005,UComP_epzeKzvBX156r6pm1Q,AdeleVEVO,2011-11-16T08:00:00Z,462,Adele - Set Fire To The Rain (Live at The Royal Albert Hall)
IOY-pesaHKY,8635358,UCoyGedsMfMU-u_CmV6FSy5g,Myynhh,2019-03-04T23:06:14Z,1987,[Vietsub + Lyrics] Wish You Were Gay - Billie Eilish
EWDOMPbH_bY,11877055,UCRbYu4cn3goKY6FD0nTh1Mw,Reggaeton Mundial,2021-06-30T15:00:06Z,4371,Marc Seguí x Rauw Alejandro x Pol Granch - Tiroteo REMIX (Letra/Lyrics)
c__noWWtdZg,14208861,UC40dWJOz2qfPqq9Y2gn0b0w,Mike Davis,2011-09-05T05:07:58Z,3462,James Vincent Mc Morrow - Higher Love
W8r-tXRLazs,39463791,UC1xoifAuG0cayraGGNM2HTw,TheBugglesVEVO,2010-10-08T14:16:29Z,2670,The Buggles - Video Killed The Radio Star (Official Music Video)
VqEbCxg2bNI,2311600881,UCu59H8LNti6mwvcGRMge5PA,Natti Natasha,2017-08-18T14:32:42Z,1071,Natti Natasha ❌ Ozuna - Criminal [Official Video]
XPpTgCho5ZA,239444722,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,2009-06-17T05:22:13Z,619,Maroon 5 - This Love (Closed Captioned)
GnO11WNBing,450089,UC8DBdOsq1zu-PbKHG8kNV0g,Pillow,2020-09-26T14:37:54Z,1532,8Teen - Khalid (Lyrics) 🎵
HdAkYCyCZv8,151823111,UCs8ynQgjoKZblUXosXoeOEQ,Lukas Graham,2015-10-23T17:10:00Z,526,Lukas Graham - Mama Said [Official Music Video]
osu_gqUamMY,19584312,UCNqFDjYTexJDET3rPDrmJKg,7clouds,2020-11-18T17:46:06Z,3680,Billie Eilish - Therefore I Am (Lyrics)
FxQTY-W6GIo,410489788,UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,2018-09-14T18:55:13Z,1890,KILLSHOT [Official Audio]
fEYUoBgYKzw,200703558,UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,2020-02-29T04:00:10Z,3040,BAD BUNNY - LA DIFÍCIL | YHLQMDLG (Video Oficial)
hqDinxaPUK4,478881995,UCelvBrvTHaZL_V6WuMkJDxQ,YNW Melly,2018-08-03T19:03:23Z,1884,YNW Melly - Murder On My Mind [Official Video]
Z5ZlnkYjnNI,22556778,UCzfbr5Oxf_N4caTHS6S_G2Q,Victor Garcia,2011-11-09T06:11:38Z,3775,Drake: Shot For Me Lyrics
Vo6XYUJ7Eys,4077479,UCbScGA133cu9zfOJImZK3Ew,Wiley,2020-08-04T22:28:10Z,3523,"Wiley - Boasty ft  Stefflon Don, Sean Paul &amp; Idris Elba"
